,epoch,train_loss,train_f1,val_loss,val_f1
0,0,4.587989443824405,7.261249484211731,4.09840476559134,5.876727419320498
1,1,4.002700079055059,9.85193236457953,3.8005982234220164,8.283539992558184
2,2,3.5892188662574407,17.753503962011525,3.1459870476087892,23.344410605319286
3,3,2.829158238002232,39.76493159624987,2.4752091551998063,38.43373787244023
4,4,2.3629891531808034,50.17726853935758,2.199488556420993,47.06450645971829
5,5,2.1565050397600447,54.36641674174025,2.0688009529163076,49.69042777179618
6,6,2.0368797665550593,56.50896000811014,2.0016643322012335,52.74653007605805
7,7,1.9429117838541667,58.44473792488963,1.9622642849088485,54.26356217502716
8,8,1.873870849609375,59.695500914058094,1.9209182653792816,54.75035330087172
9,9,1.8126020885649181,61.12077310464317,1.8981649061052617,55.74666829809869
