,epoch,train_loss,train_f1,val_loss,val_f1
0,0,4.590349469866071,5.083660368214539,4.076403708665446,6.8243526656811895
1,1,4.007376534598214,7.189667351497708,3.854002854373115,8.469385234078764
2,2,3.8280814034598216,9.101159961048918,3.7213527641641533,10.68569185377008
3,3,3.7341773623511907,10.274718338848347,3.676266375619345,11.634034482518631
4,4,3.713047572544643,10.461556963186968,3.67400021205838,11.649606725729686
5,5,3.3418520972842263,17.88738123678251,2.8263077774935375,27.610138923899164
6,6,2.662080310639881,29.682031739930093,2.44729991618645,32.70961707979812
7,7,2.418702625093006,33.349622726159296,2.3382628842295885,35.295359942865986
8,8,2.3285348074776784,34.645091735076974,2.312755606083046,35.870021654857595
9,9,2.3075038364955356,34.86255589087809,2.3100296145418193,35.8567191878493
10,10,2.2752758207775297,35.26826759402287,2.1689897017045454,37.99849393678543
11,11,2.113338652111235,37.16092232552014,2.0866882245327982,37.93334643535909
12,12,2.018314179920015,38.47343065672246,2.0567369769226627,38.87870971933039
13,13,1.9725726899646578,39.15052023587685,2.0486214311921045,39.18726930388995
14,14,1.9577411469959078,39.26945486234489,2.049770606688927,39.26296667698278
